 Subcycle   Step   binding_Energy   VDW_Energy   ELE+EGB_Energy  Scaled_Peptide_
 Energy
    2   40  -12.4682  -32.2548   19.7866    0.0000
    2   41  -15.4749  -38.1629   22.6880    0.0000
    2   42  -15.4749  -38.1629   22.6880    0.0000
    2   43  -14.6501  -40.0370   25.3870    0.0000
    2   44  -10.9836  -33.3057   22.3221    0.0000
    2   45  -13.0951  -33.7656   20.6705    0.0000
    2   46  -15.2837  -32.0936   16.8100    0.0000
    2   47  -18.1580  -36.9914   18.8334    0.0000
    2   48  -18.1580  -36.9914   18.8334    0.0000
    2   49  -14.6008  -34.4891   19.8883    0.0000
    2   50  -16.1737  -37.8376   21.6639    0.0000
    2   51  -16.4127  -37.1797   20.7670    0.0000
    2   52  -17.8957  -38.5973   20.7017    0.0000
    2   53  -13.3880  -36.7987   23.4108    0.0000
    2   54  -13.3880  -36.7987   23.4108    0.0000
    2   55   -7.9782  -28.5528   20.5746    0.0000
    2   56   -7.9782  -28.5528   20.5746    0.0000
    2   57  -13.6290  -31.5538   17.9249    0.0000
    2   58  -13.4524  -35.2300   21.7776    0.0000
    2   59  -15.9725  -34.1661   18.1936    0.0000
    2   60  -16.2857  -34.6049   18.3192    0.0000
    2   61  -16.5678  -34.5673   17.9996    0.0000
    2   62  -17.9207  -34.6619   16.7411    0.0000
    2   63  -14.3881  -36.8545   22.4664    0.0000
    2   64  -15.8374  -39.6589   23.8216    0.0000
    2   65  -14.0521  -39.1623   25.1102    0.0000
    2   66  -14.0521  -39.1623   25.1102    0.0000
    2   67  -14.4711  -38.5361   24.0650    0.0000
    2   68  -15.4738  -39.2048   23.7310    0.0000
    2   69  -15.3352  -39.1992   23.8640    0.0000
    2   70  -16.5457  -42.2497   25.7040    0.0000
    2   71  -14.5000  -37.6451   23.1451    0.0000
    2   72  -19.7860  -42.2369   22.4510    0.0000
    2   73  -25.2316  -49.5879   24.3563    0.0000
    2   74  -22.7707  -46.2251   23.4544    0.0000
    2   75  -21.0891  -47.2216   26.1325    0.0000
    3    0  -26.8688  -50.9970   24.1282    0.0000
    3    1  -22.2522  -42.8425   20.5903    0.0000
    3    2  -20.4347  -41.7351   21.3003    0.0000
    3    3  -17.3358  -36.0531   18.7173    0.0000
    3    4  -19.2081  -38.5159   19.3078    0.0000
